X1,x2,x3,x4,x5,x6,x7
1.581230591,0.546004989,0.81020151,0.689352468,3.515644788,1.031534334,0.209294848
6.119015961,0.318288485,0.706445686,0.760673903,2.081078608,0.175495132,0.117028482
0.324480913,0.408551425,0.072050037,0.997405519,2.561836595,0.003823764,0.330539908
1.505152894,0.137456973,0.810792066,0.688924534,1.372324995,1.271650918,0.172976484
4.550754224,0.347941468,0.814213295,0.686440687,2.228134834,0.073910669,0.25170403
2.538829396,0.502866791,0.336505501,0.943914277,3.183220999,0.466790934,0.28530328
0.241242047,0.23895454,0.444165441,0.902969593,1.733622522,0.587334439,0.246584353
4.644627047,0.479149047,0.235783908,0.972331515,3.014040245,0.264237373,0.06385433
4.181953688,0.347648834,0.86514131,0.648532559,2.226633987,0.074728977,0.051675781
1.333592235,0.535856877,0.559188194,0.847686052,3.434447457,0.87319205,0.35471194
6.137119916,0.095086813,0.606683745,0.821543282,1.244763409,1.575618899,0.287647116
1.259830658,0.459420237,0.713176822,0.756287293,2.880184027,0.144539894,0.198317401
3.963623385,0.337899401,0.835286841,0.670965021,2.177205393,0.104196359,0.126860599
4.141112254,0.276877185,0.133985849,0.991037317,1.891808553,0.369896837,0.014005454
3.871246803,0.2435918,0.900452791,0.621255221,1.752232776,0.559155821,0.128881592
1.425630315,0.475762123,0.645694126,0.798682267,2.990626127,0.240713996,0.057867809
4.768815476,0.566603631,0.525092042,0.865277805,3.686409961,1.407568595,0.271575197
0.94972913,0.431112095,0.90210118,0.619962687,2.698435831,0.039376779,0.334260037
3.430528872,0.336471526,0.387157013,0.925986191,2.17005892,0.108861116,0.262267221
0.744546683,0.506564898,0.168669166,0.985809048,3.210442517,0.50472857,0.01814499
2.145095326,0.504654847,0.330256296,0.945959262,3.196353816,0.484908637,0.175113952
2.131874426,0.387584185,0.134017035,0.99103315,2.441092213,0.003470127,0.062180097
1.739408547,0.39297688,0.048913699,0.998803964,2.471592564,0.000806982,0.084102397
3.143971773,0.445955011,0.169671976,0.98564021,2.792254573,0.085412736,0.382713546
4.13048091,0.136700035,0.444775686,0.9027072,1.36993523,1.277046383,0.322492923
3.10888222,0.566809521,0.864088052,0.649333925,3.688158023,1.411719489,0.007082288
3.622650379,0.625541169,0.004746455,0.999988736,4.222223014,2.96605211,0.359449584
7.046869412,0.404262941,0.60073745,0.824918995,2.536663973,0.001344247,0.023147709
1.898323281,0.390434064,0.943132353,0.587255579,2.457163546,0.001834962,0.368472238
1.905720592,0.352792222,0.475093606,0.889249908,2.253160981,0.060929501,0.201666873
0.399199153,0.44467499,0.681005607,0.776940007,2.784036917,0.08067697,0.070599116
1.760700058,0.421005185,0.503725397,0.875790426,2.636362862,0.01859483,0.309381239
5.156587875,0.260134429,0.171665662,0.985301599,1.820264207,0.462040748,0.177697668
0.552997148,0.462416171,0.147605214,0.989126115,2.900121352,0.160097097,0.126457914
1.595937889,0.423890363,0.756154106,0.727480163,2.653935496,0.023696137,0.357268531
0.43418716,0.333864614,0.778250687,0.712142705,2.157071864,0.117599707,0.036459569
1.014222007,0.427090753,0.207944603,0.978457316,2.673565035,0.030124821,0.077621463
2.167046138,0.352026417,0.59253073,0.82953002,2.249191412,0.062904948,0.350099058
4.756481156,0.297626601,0.983728156,0.553922459,1.98438804,0.265855694,0.160565538
3.079091662,0.435315841,0.557673905,0.848488407,2.724682115,0.050482053,0.226241565
0.091672194,0.508790997,0.667376007,0.785448428,3.226940791,0.528442914,0.330837645
3.845533882,0.429693274,0.946881583,0.584216825,2.689634544,0.03596126,0.384093784
1.693597063,0.216558089,0.191376584,0.981743325,1.646486178,0.728485844,0.237058814
2.116381498,0.313677208,0.523192141,0.866228649,2.059098907,0.194393773,0.245140735
0.071572162,-0.100290818,0.544828758,0.855216053,0.793796504,2.911130369,0.091382425
0.811685596,0.426992608,0.408250875,0.917816637,2.672960911,0.029915477,0.321879235
1.867690313,0.179202449,0.210381689,0.977951277,1.51078425,0.978547801,0.374934843
10.01017652,0.396772825,0.533067361,0.861252361,2.493290173,4.50218E-05,0.268918763
7.229570611,0.283666373,0.872425234,0.642970976,1.921614966,0.334529247,0.34629957
6.287770841,0.634218423,0.967656909,0.56723076,4.307431929,3.266810177,0.161797566
3.964240929,0.300927729,0.090644805,0.995894572,1.999529101,0.250471121,0.351220735
4.770878086,0.517646428,0.32369504,0.948066604,3.293414765,0.62950699,0.38403536
0.317702599,0.417942365,0.496291346,0.879354546,2.617835575,0.013885223,0.085945675
10.82551017,0.524552472,0.515752744,0.869921723,3.346204447,0.716061966,0.22416344
3.007496601,0.420382674,0.346901062,0.94043082,2.632586648,0.017579219,0.358311607
2.931757768,0.494255669,0.138287526,0.990453508,3.120726214,0.385301033,0.032440714
1.013860313,0.230119765,0.551495394,0.851741946,1.69871204,0.642062396,0.09565391
2.423620847,0.330074408,0.11414612,0.993492402,2.13832842,0.130806332,0.236681378
1.921240809,0.540650147,0.103367977,0.994662286,3.472563107,0.945878997,0.280455771
8.745481254,-0.007680201,0.463793883,0.894361766,0.982471132,2.302893864,0.363145734
2.626328858,0.182166678,0.599622355,0.82554879,1.521131214,0.958184099,0.260704598
5.262700244,0.551553697,0.097613517,0.995239582,3.560850141,1.125403023,0.129093192
8.227138024,0.504713489,0.105465452,0.994443672,3.196785443,0.485509953,0.329095601
2.854918337,0.518458276,0.168095022,0.985905267,3.299577065,0.639323482,0.081651684
4.714539176,0.449797807,0.533451362,0.861057156,2.817071092,0.100534078,0.111441652
0.908595861,0.477568075,0.53450105,0.860522907,3.003088113,0.25309765,0.024541359
0.587929596,0.394047862,0.202565101,0.979553747,2.4776951,0.000497509,0.191218828
5.118297133,0.539501254,0.05755978,0.998343893,3.463388847,0.928118071,0.380974829
0.899941957,0.312987746,0.520442652,0.86759915,2.055832586,0.197284691,0.386464147
2.758091403,-0.163972019,0.706329198,0.760749514,0.685532394,3.292292695,0.240180613
0.899308898,0,0.542095632,0.856629359,-0.143712848,6.989217623,0.305710733
4.211240325,0.502716424,0.048895179,0.998804869,3.182119053,0.465286402,0.310505704
0.67735893,0.392204523,0.685070564,0.774374401,2.467200948,0.001075778,0.276044462
2.402256347,0.510030547,0.077345098,0.997010359,3.23616418,0.5419377,0.304015918
6.666497137,0.319597328,0.694211963,0.768558111,2.087359863,0.170271882,0.32802162
0.529892382,0.429994031,0.935862368,0.593124345,2.691497813,0.036671413,0.234794359
0.981870297,0.287518117,0.950475268,0.581296434,1.938733508,0.315020075,0.373539127
0.109786039,0.211479373,0.726661321,0.747396708,1.627344023,0.761528455,0.334667643
0.111345049,0.202142257,0.897744968,0.623374814,1.592730354,0.82313821,0.158733733
1.977286825,0.364741452,0.067537169,0.997720232,2.316015451,0.033850314,0.310490501
5.634963912,0.50956548,0.885737524,0.632718548,3.232700571,0.536850126,0.276537802
1.108494208,0.202031789,0.901854283,0.620156391,1.592325277,0.823873403,0.026840997
2.487360602,-0.181017791,0.439908206,0.904790758,0.659146893,3.388740163,0.061070918
3.12912151,0.489410512,0.551880151,0.851540285,3.086103675,0.343517518,0.02490312
3.518660159,0.470192563,0.288478224,0.958677921,2.952518064,0.204772598,0.132613548
1.850601975,0.25980847,0.330404306,0.945911254,1.818898523,0.463899223,0.2340764
0.779153453,0.306372744,0.913205964,0.611211479,2.024756228,0.225856642,0.155134076
5.131424817,0.566546464,0.044397589,0.999014589,3.685924742,1.406417494,0.381890755
4.313598194,0.374682092,0.213817649,0.977227963,2.369638469,0.016994129,0.299132896
2.684210662,0.336082259,0.461458646,0.895403982,2.168114725,0.110147836,0.12187072
1.310928395,0.41151364,0.142335006,0.989887463,2.579369974,0.006299593,0.349322675
1.387461491,0.52561364,0.519065933,0.86828292,3.354390663,0.729983404,0.307804015
2.939911046,0.266322966,0.728187283,0.746382023,1.846387987,0.427208663,0.350085498
1.060662035,0.569975317,0.472961547,0.890223136,3.715141137,1.476567983,0.383551587
0.19444425,0.550095411,0.823812156,0.679429015,3.548913472,1.100219472,0.050160241
2.036294953,0.362910423,0.870427803,0.644499506,2.30627145,0.037530751,0.306528562
2.113275078,0.530917008,0.160620051,0.987128308,3.395603775,0.802106121,0.233305155
15.88662235,0.458636202,0.929317751,0.598380747,2.874989095,0.140616821,0.375170049
2.530715025,0.359755531,0.938440817,0.591046439,2.289578463,0.044277223,0.317482115
